id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
1,1,Bitcoin,BTC,bitcoin,1,2010-07-13T00:05:00.000Z,2024-02-05T20:45:00.000Z,
2,19,Litecoin,LTC,litecoin,1,2013-04-28T18:45:00.000Z,2024-02-05T20:45:00.000Z,
3,1120,Namecoin,NMC,namecoin,1,2013-04-28T18:45:00.000Z,2024-02-05T20:50:00.000Z,
4,7491,Terracoin,TRC,terracoin,1,2013-04-28T18:45:00.000Z,2024-02-05T20:45:00.000Z,
5,946,Peercoin,PPC,peercoin,1,2013-04-28T18:45:00.000Z,2024-02-05T20:50:00.000Z,
6,7033,Novacoin,NVC,novacoin,1,2013-04-28T18:45:00.000Z,2024-02-05T20:45:00.000Z,
8,1704,Feathercoin,FTC,feathercoin,1,2013-05-03T03:25:00.000Z,2024-02-05T20:50:00.000Z,
10,7492,Freicoin,FRC,freicoin,1,2013-05-03T03:25:00.000Z,2024-02-05T20:45:00.000Z,
13,7493,Ixcoin,IXC,ixcoin,1,2013-05-08T05:20:00.000Z,2024-02-05T20:50:00.000Z,
16,5806,WorldCoin WDC,WDC,worldcoin,1,2013-05-22T03:20:00.000Z,2024-02-05T20:45:00.000Z,
18,4414,Digitalcoin,DGC,digitalcoin,1,2013-06-09T17:55:00.000Z,2024-02-05T20:50:00.000Z,
25,1788,Goldcoin,GLC,goldcoin,1,2013-06-14T06:45:00.000Z,2024-02-05T20:50:00.000Z,
35,1698,Phoenixcoin,PXC,phoenixcoin,1,2013-07-04T05:15:00.000Z,2024-02-05T20:50:00.000Z,
42,1603,Primecoin,XPM,primecoin,1,2013-07-11T03:20:00.000Z,2024-02-05T20:50:00.000Z,
43,6463,Anoncoin,ANC,anoncoin,1,2013-07-15T01:30:00.000Z,2024-02-05T20:45:00.000Z,
45,4881,CasinoCoin,CSC,casinocoin,1,2013-07-25T03:05:00.000Z,2024-02-05T20:45:00.000Z,
52,6,XRP,XRP,xrp,1,2013-08-04T18:50:00.000Z,2024-02-05T20:45:00.000Z,
53,1797,Quark,QRK,quark,1,2013-08-25T17:45:00.000Z,2024-02-05T20:45:00.000Z,
56,7494,Zetacoin,ZET,zetacoin,1,2013-09-11T01:45:00.000Z,2024-02-05T20:50:00.000Z,
61,7495,TagCoin,TAG,tagcoin,1,2013-11-05T13:30:00.000Z,2024-02-05T20:50:00.000Z,
66,7496,Nxt,NXT,nxt,1,2013-12-04T05:45:00.000Z,2024-02-05T20:50:00.000Z,
67,6856,Unobtanium,UNO,unobtanium,1,2013-12-21T18:15:00.000Z,2024-02-05T20:45:00.000Z,
69,7497,Datacoin,DTC,datacoin,1,2013-12-07T19:45:00.000Z,2024-02-05T20:50:00.000Z,
72,2070,Deutsche eMark,DEM,deutsche-emark,1,2013-12-15T01:50:00.000Z,2024-02-05T20:50:00.000Z,
74,10,Dogecoin,DOGE,dogecoin,1,2013-12-15T14:40:00.000Z,2024-02-05T20:45:00.000Z,
