id,name,symbol,slug,cmc_rank,num_market_pairs,circulating_supply,total_supply,max_supply,infinite_supply,last_updated,date_added,tags,platform,self_reported_circulating_supply,self_reported_market_cap,quote
2308,az1ijvzd63e,ewhimbu23jn,tc6gu9yl79,6406,6689,4744,6260,7809,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['mk4cnmfz95', 'xuotiee3xeg', 'gyu0wkyve7', 'dkdf1sl8kps', 'mswtan8plq', 'wvqc4lyjkxk', 'w65kueyiysc', 'y5kswpv3l5', 'fz823oa2gs7', 'xtshyyox5w']",,,,"{'USD': {'price': 0.2755415177004257, 'volume_24h': 4043, 'volume_change_24h': 0.35354572323548594, 'percent_change_1h': 0.16609705587923118, 'percent_change_24h': 0.6938736148388593, 'percent_change_7d': 0.7294229425603924, 'market_cap': 0.6565674110571331, 'market_cap_dominance': 3742, 'fully_diluted_market_cap': 0.5801005853090746, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 9728, 'volume_24h': 7799, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 538, 'market_cap_dominance': 52, 'fully_diluted_market_cap': 0.7719402057362867, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
7276,gdecy7hg3ph,jejaq511pf,0spvkmn3ppf9,309,5174,3661,2868,1738,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['4vl4bdm55h5', 'e0uu1qzazq', 'dps2earaj34', '7hr25ai1e7', 'vn8ledx0pz9', '0bv7ihfxqb4c', '66znihava9m', 'jtuekojp5b', 'jtyaft0afw', '7k40zue4qkr']",,,,"{'USD': {'price': 0.5117633621075879, 'volume_24h': 8170, 'volume_change_24h': 0.6238450769223505, 'percent_change_1h': 0.09656147200776788, 'percent_change_24h': 0.4385230500761803, 'percent_change_7d': 0.8000876475888703, 'market_cap': 0.36382745285315177, 'market_cap_dominance': 2285, 'fully_diluted_market_cap': 0.6772809970329421, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 8869, 'volume_24h': 7237, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 3720, 'market_cap_dominance': 6614, 'fully_diluted_market_cap': 0.5053483802845404, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
3925,nv2aksmxiql,j20imhnomz,zjvtenslrsm,1729,7047,1285,9787,4814,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['awsois1idid', 'qj1hx3egkdb', 'lighqa6nkmp', 'iqzcd63lqvc', 'zv5pp7rc9p', 'qthy1tbh55a', 'cykkto1dm88', 'afwkehihr2f', 'eoxk1xhzin4', 'eo6qivgviwl']",,,,"{'USD': {'price': 0.8584762643635444, 'volume_24h': 550, 'volume_change_24h': 0.9532332577806697, 'percent_change_1h': 0.4692234406436102, 'percent_change_24h': 0.32565914060658163, 'percent_change_7d': 0.8488712245869643, 'market_cap': 0.4161022522509761, 'market_cap_dominance': 6668, 'fully_diluted_market_cap': 0.27379900503430954, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 5342, 'volume_24h': 5673, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 1418, 'market_cap_dominance': 3213, 'fully_diluted_market_cap': 0.8147199929765769, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
4528,eabrymognje,8c4ty793y03,g8tkhh31c35,7936,7101,7828,1278,95,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['z8dcze3rfxg', 'm2n0fao36yh', '3lzxpzojw18', 'o02kh3q7kqa', '3wuft5i89uh', 'r8wmb12gqb', 'rl7v8m4evkk', 'xyk3u829fa', 'iqi7oka65zf', 'hjy0jdu5nfm']",,,,"{'USD': {'price': 0.19283470916997225, 'volume_24h': 3858, 'volume_change_24h': 0.6851713643268473, 'percent_change_1h': 0.9079535183449754, 'percent_change_24h': 0.9938987165092035, 'percent_change_7d': 0.3427425928574659, 'market_cap': 0.16027480400644833, 'market_cap_dominance': 6989, 'fully_diluted_market_cap': 0.5099339603374591, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 4686, 'volume_24h': 8071, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 8369, 'market_cap_dominance': 4204, 'fully_diluted_market_cap': 0.4575135450619665, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
3867,mc0wz2aww8p,zhlb3c4uv4h,b38u0tqjjmu,7485,2642,1153,5349,8111,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['17qr03t7u7i', 'o4i87dvz1h', '2xa6u77w7dr', 'hpizn6syn', 'w6bkgmu2zjp', '6eb9lgahxg5', 'ni11r1n8wgn', 'cl4qbjht3x', 'gpzafrzvsm', 'fjimppjtjkw']",,,,"{'USD': {'price': 0.368197712202297, 'volume_24h': 4066, 'volume_change_24h': 0.7968518723014948, 'percent_change_1h': 0.21231097995261639, 'percent_change_24h': 0.2903129718220556, 'percent_change_7d': 0.556884346133024, 'market_cap': 0.8840329826663662, 'market_cap_dominance': 1168, 'fully_diluted_market_cap': 0.9153535468397487, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 1992, 'volume_24h': 379, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 5356, 'market_cap_dominance': 6917, 'fully_diluted_market_cap': 0.4018427575196992, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
1123,u7d0k8j5n5,jvylso7ftld,2r6nu62sxq,4729,647,8687,2170,1600,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['s1abveetq', 'eoyqwqtdzq4', 'coeyy3vshi7', 'tgbtw1c6lah', '4d8gr19pgvn', 'av0jns17k8', 'ebgopluwpwo', '7fodoyp7njg', 'pmxq9hv8r58', '3ohz73vje03']",,,,"{'USD': {'price': 0.8910041192907723, 'volume_24h': 5758, 'volume_change_24h': 0.17742566489530542, 'percent_change_1h': 0.4740873311463283, 'percent_change_24h': 0.4326536929952687, 'percent_change_7d': 0.4450448036401644, 'market_cap': 0.4424140967568342, 'market_cap_dominance': 1722, 'fully_diluted_market_cap': 0.9126704581772833, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 5424, 'volume_24h': 6713, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 9258, 'market_cap_dominance': 4043, 'fully_diluted_market_cap': 0.305610867557782, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
2962,fd4i00dnwaf,m6rgx5laaq,o9gvn9evz1s,6491,3080,1017,3116,4159,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['nh0n37k67oe', 'lz9gvhotv4c', '0pgw2u2mo5p', 'o7fmub7aqfo', 'iz5hmchvn7', '5tvcdka3z0b', '51hhzqzr6ei', '40ixh3c7zd5', 'sb614zaehgl', 'ut6oxuc8ct9']",,,,"{'USD': {'price': 0.4436924922588341, 'volume_24h': 7091, 'volume_change_24h': 0.20415371691519213, 'percent_change_1h': 0.2577919205713364, 'percent_change_24h': 0.687163693051863, 'percent_change_7d': 0.8431568414926314, 'market_cap': 0.5741683145976724, 'market_cap_dominance': 9305, 'fully_diluted_market_cap': 0.47982096956911, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 126, 'volume_24h': 5346, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 5517, 'market_cap_dominance': 6713, 'fully_diluted_market_cap': 0.3655408003676184, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
8813,r29bed3jhn,xtvlrqfdbgm,wrzf6pgqr8,2337,5930,2623,1635,5146,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['wuyw1681kns', '8506rchk8v', 'wwdao65okko', '7vrldcnqztj', '1no1dzi8iyx', 'tufd3ndrt4m', 'pqkm2uzhdm', '9dj608zm8jl', '3y2onnjbgox', '7zqrhdna6jt']",,,,"{'USD': {'price': 0.3039429676898324, 'volume_24h': 5205, 'volume_change_24h': 0.894629023016273, 'percent_change_1h': 0.9158293652736271, 'percent_change_24h': 0.8842013986698096, 'percent_change_7d': 0.672668175821298, 'market_cap': 0.7606900394099267, 'market_cap_dominance': 8775, 'fully_diluted_market_cap': 0.06801047336620991, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 6053, 'volume_24h': 7979, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 2710, 'market_cap_dominance': 4483, 'fully_diluted_market_cap': 0.37754647025483234, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
9514,xcopkqe0x8r,iez90mt2vsa,ne7e8e03oy,835,6577,5327,5684,3429,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['yzgafci8t8b', 'txk5zw7st9', 'ncycjyg13ra', 'qydqztxl93', 'ng83ks1l8gs', 'owxveyesg5g', 'whhm2arhwlm', '5g8l4vt814v', '9c14aekh8bj', 'qzwwugesuk']",,,,"{'USD': {'price': 0.7049206279364257, 'volume_24h': 2807, 'volume_change_24h': 0.8414797954091855, 'percent_change_1h': 0.737278243542536, 'percent_change_24h': 0.43685412593349215, 'percent_change_7d': 0.9211432005896223, 'market_cap': 0.015908896965806107, 'market_cap_dominance': 3343, 'fully_diluted_market_cap': 0.04876701439326392, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 9830, 'volume_24h': 8184, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 603, 'market_cap_dominance': 5312, 'fully_diluted_market_cap': 0.8711604287794488, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
8847,9tqfk2ob9n6,sopwn1s5pa,im80hovtcum,3878,2110,1497,3958,4825,,2024-02-06T09:17:40.570Z,2024-02-06T09:17:40.570Z,"['wjuzqjp7ak', 'owgs0xezlm', '8uuxkf7ojdj', 'b56g5ym2kfa', '7p5edgi088', 'djrksuz8bir', 'w1e435cm9zs', 'd3du7jzx9', 'iz2wx7tg7s', 'qgmsz0ej6qn']",,,,"{'USD': {'price': 0.5084631112038842, 'volume_24h': 8401, 'volume_change_24h': 0.485653062076042, 'percent_change_1h': 0.7802868394700004, 'percent_change_24h': 0.1404878610710245, 'percent_change_7d': 0.15273854284588473, 'market_cap': 0.5029395242135859, 'market_cap_dominance': 8630, 'fully_diluted_market_cap': 0.16721576032879581, 'last_updated': '2024-02-06T09:17:40.570Z'}, 'BTC': {'price': 5625, 'volume_24h': 4328, 'volume_change_24h': None, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 1369, 'market_cap_dominance': 6689, 'fully_diluted_market_cap': 0.11431224153219977, 'last_updated': '2024-02-06T09:17:40.570Z'}}"
